env,episode,return,epsilon
8,37,135.2465501785279,0.01
18,38,72.4936465454102,0.01
19,32,101.68953456878666,0.01
6,36,69.3837018966675,0.01
10,34,88.2863361358644,0.01
14,36,68.37547260284424,0.01
0,30,34.150475387573245,0.01
7,36,78.10727943420413,0.01
2,37,73.84042894363415,0.01
3,39,59.94703422546388,0.01
4,37,65.94743347167982,0.01
3,40,9.627863388061519,0.01
6,37,31.219491348266622,0.01
11,35,85.8912872314454,0.01
15,36,135.09898799896237,0.01
9,39,96.45438240051271,0.01
10,35,21.22286380767823,0.01
17,38,85.04607440948492,0.01
19,33,108.90667041778568,0.01
8,38,130.8170228576661,0.01
16,37,20.830226192474328,0.01
0,31,92.17089191436774,0.01
2,38,57.3366072273255,0.01
17,39,69.99914604187015,0.01
10,36,83.3055042266846,0.01
1,45,86.25457077026394,0.01
5,38,150.04528732299778,0.01
13,38,102.74728012084977,0.01
12,43,94.0783588409426,0.01
7,37,153.9043923568725,0.01
3,41,132.4650720596313,0.01
2,39,53.66053266525271,0.01
8,39,112.39536680221563,0.01
18,39,110.99531440734879,0.01
0,32,88.27229280471809,0.01
19,34,143.85237499237067,0.01
10,37,24.784101028442368,0.01
11,36,60.77891860961921,0.01
1,46,50.59256240844729,0.01
13,39,54.56648754119871,0.01
14,37,46.520541381836,0.01
5,39,115.39531475067146,0.01
4,38,49.88986244201663,0.01
6,38,94.63231544494649,0.01
15,37,134.6108985900877,0.01
9,40,33.93833999633793,0.01
2,40,66.29239120483399,0.01
3,42,65.78903945922856,0.01
18,40,48.96010761260982,0.01
17,40,116.98084987640385,0.01
14,38,78.46456518173218,0.01
10,38,92.83675003051763,0.01
19,35,84.38219345092777,0.01
16,38,150.6682121276853,0.01
7,38,70.5880642700196,0.01
13,40,100.38437091827396,0.01
11,37,67.2927833175659,0.01
5,40,75.3896324539185,0.01
4,39,40.359066276550315,0.01
1,47,122.71737110137943,0.01
12,44,107.86669914245613,0.01
6,39,97.0979572868348,0.01
14,39,70.43735092163084,0.01
9,41,94.42811092376711,0.01
19,36,43.199234275817865,0.01
3,43,109.86831184387216,0.01
5,41,9.508083877563475,0.01
11,38,28.559763984680192,0.01
18,41,104.86059139251712,0.01
19,37,21.67602680206299,0.01
13,41,67.4457848358154,0.01
7,39,87.946424255371,0.01
8,40,26.30035324096674,0.01
1,48,89.62363311767582,0.01
10,39,69.26288845062257,0.01
3,44,26.180521278381327,0.01
14,40,53.75649879455566,0.01
0,33,55.35631923675549,0.01
17,41,93.13594051361092,0.01
8,41,52.599700202941925,0.01
